REF	COMMENT	DESCRIPTION
X0	jarzeniówki kory	
X1	bomba korytarz	
X2	jarzeniówki kory	
X3	bomba korytarz	
X4	magazyn niemcy	
X5	pietro norwegia 	
X6	piêtro norwegia 	
X7	parter norwegia 	
X8	parter norwegia	
X9	Darek góra	
X10	Darek góra	
X11	traktor	
X12	Darek dó³	
X13	reset	
X37	wiatro³ap pietro	
X38	kin ³az brudna	
X43	socjal szatnia	
Y0	jarzeniówki kory	
Y1	bomba 1 korytarz	
Y2	jarzeniówki kory	
Y3	bomba 2 korytarz	
Y4	magazyn niemcy	
Y5	piêtro norwegia 	
Y6	piêtro norwegia	
Y7	parter norwegia	
Y8	parter norwegia	
Y9	Darek góra	
Y10	Darek góra	
Y11	traktor	
Y12	Darek dó³	
Y13	l pod schodami	
Y14	klatka schodowa	
Y15	sufit p. Darka	
Y16	kinkiet p Darka	
Y17	l. sufit sala 1	
Y18	kinkiet sala 1	
Y19	l sufit sala 2	
Y21	l sufit sala 3	
Y22	kinkiet sala 3	
Y23	lampy szatnia	
Y24	l sala konfer	
Y25	l sala konferenc	
Y26	l sala konferenc	
Y27	l korytarz 4-5	
Y28	lampy 6 korytarz	
Y29	l sufit ³az czys	
Y30	kin ³az czysta	
Y31	lampa 7 kuchnia	
Y32	lampa 8 kuchnia	
Y33	l pom gospod	
Y34	l prysznic	
Y35	l kor pom gospod	
Y36	l sufit ³az brud	
Y37	kin ³az brudna	
Y38	lampa wiatro³ap 	
Y39	pompka Kuchnia	
Y52	grza³ka1piec6	
Y55	mata el.	
Y56	mata el.	
Y57	BOILER	
Y58	mata el.	
Y59	?	
Y60	GRZEJNIK KUCHNIA	
Y61	BRAMA STOP	
Y62	BRAMA DOL	
Y63	BRAMA GORA	
Y64	rozmrazanie scho	
Y65	grza³ka2piec5	
Y66	grza³ka3piec5	
Y67	1 BIEG	
Y68	2 BIEG	
Y69	3 BIEG	
Y71	RADIO WC BIURO	
Y72	RADIO NIEMCY	
Y73	RADIO HOL_WC	
Y74	radio szef	
Y75	RADIO NORWEGIA	
Y77	nadmuchSzatnia	
Y78	RADIO KSIÊGOWE	
Y82	RADIO KUCHNIA	
Y86	RADIO HOL_ŒROD	
Y88	nadmuchnNORKI	
Y89	l socjal piêtro	
Y90	l wiatr piêtro	
Y91	nadmuchNIEMCY	
Y92	nadmuchSZEF	
Y93	nadmuchSala	
Y94	nadmuchKSIÊGOWE	
M0	jarzeniówki kory	
M1	bomba korytarz	
M2	jarzeniówki kory	
M3	bomba korytarz	
M4	magazyn niemcy	
M5	piêtro norwegia	
M6	piêtro norwecia	
M7	parter norwegia	
M8	parter norwegia	
M9	Darek góra	
M10	Darek góra	
M11	traktor	
M12	Darek dó³	
M13	lampa p. schod	
M14	klatka schod	
M15	sufit p Darka	
M16	kinkiet p Darka	
M17	sufit sala1	
M18	kinkiet sala 1	
M19	sufit sala 2	
M20	kinkiet sala 2	
M21	sufit sala 3	
M22	kinkiet sala 3	
M23	lampy szatnia	
M24	l. sala konferen	
M25	l. sala konferen	
M26	l sala konferen	
M27	l. 4-5 kor	
M28	lampy 6 kor	
M29	l.sufit ³az czys	
M30	kin ³az czysta	
M31	lampa 7 kuchnia	
M32	lampa 8 kuchnia	
M33	l pom gospod	
M34	l prysznic	
M35	l kor pom gosp	
M36	l sufit ³az brud	
M37	kin ³az brudna	
M38	lampa wiatro³ap 	
M39	POMPKA	
M40	g1Szef	
M41	g2Szef	
M42	g3Szef	
M43	g1Niemcy	
M44	g2Niemcy	
M45	g3Niemcy	
M46	g1Norwegia	
M47	g2Norwegia	
M48	g3Norwegia	
M49	g1Ksiegowe	
M50	g2Ksiegowe	
M51	g3Ksiegowe	
M52	g1Konferencyjna	
M53	g2Konferencyjna	
M54	g3Konferencyjna	
M55	mata el.	
M56	mata el.	
M59	mata el.	
M60	grzejnik Kuchnia	
M64	ROZMR. SCHODY	
M65	went szatnia	
M66	grza³ka3piec5	
M67	1 bieg	
M68	2 BIEG	
M69	3 BIEG	
M77	nadmuchSzatnia	
M88	nadmuchnNORKI	
M89	l socjal piêtro	
M90	led przycisk WC	
M91	nadmuchNIEMCY	
M92	nadmuchSZEF	
M93	nadmuchSala	
M94	nadmuchKSIÊGOWE	
M98	start licznik	
M99	kasuj licznik	
M110	AKTYWNE/OFF	
M111	ON RECZNIE	
M112	SET OON	
M113	SET OFF	
M115	OF SZATNIA MATA	
M301	M_BUS ACT	
M302	M_BUS ERR	
M303	M_BUS DN	
M310	MbusErrorSet	
M500	Supply air fan o	
M501	Exhaust air fan 	
M502	Rotor rotating s	
M503	Electric heater 	
M504	Remote Start/Sto	
M505	Fire alarm	
M506	Change supply ai	
M507	Change exhaust a	
M508	Water circulatio	
M509	Air damper actua	
M510	Common alarm sig	
M511	DX cooling secon	
M512	Heat exchanger O	
M513	DX cooling first	
M514	not used or 2 sp	
M515	not used or 3 sp	
M516	Fan Intensity 1	
M517	Fan Intensity 2	
M518	Fan Intensity 3	
M519	Ctrl_mode_Auto	
M520	Ctrl_mode_Manu	
M521	CENTRALA_ON	
M522	CTRL_AUTO	
M523	CENTRALA LATO	
M524	CENTRALA ZIMA	
M525	CENTRALA AUTO	
M526	POROWNANIE TEMP	
M527	AUTO LATO/ZIMA	
M553	mata el.rêczne	
M563	mata el.rêczne	
M583	mata el. rêczne	
M600	TEMP.ZEWN.GRZ.1	
M601	TEMP.ZEWN.GRZ.2	
M602	temp.zewn.grz2	
M603	temp.zewn.grz3	
M604	temp.zewn.grz3	
M605	temp.zewn.grz3	
M610	wiatraczek piec	
M620	WIATRACZEK	
M630	WIATRACZEK	
M634	£ADOWANIE PIEC	
M635	GRZ.1 PIEC	
M636	GRZ.2 PIEC	
M637	GRZ.3 PIEC	
M640	WIATRACZEK	
M650	WIATRACZEK	
M690	NOC	
